BARCAŚ	(.|#|)bartsaS(.|#|)
PÓDŠWYRUJMEJ	(.|#|)pUtSw1rujmej(.|#|)
PÓDŠYJKU	(.|#|)pUtS1jku(.|#|)
PÓDŠYLOWAT	(.|#|)pUtS1lOwat(.|#|)
PÓDŠYLOWAT	(.|#|)pUtS1lowat(.|#|)
PÓDŠYTY	(.|#|)pUtS1t1(.|#|)
PÓDŠYW	(.|#|)pUtS1w(.|#|)
PÓDŠYWAŚ	(.|#|)pUtS1waS(.|#|)
PÓDŠYŁEJ	(.|#|)pUtS1wej(.|#|)
PÓDŠYŚ	(.|#|)pUtS1S(.|#|)
PÓDŠYŚE	(.|#|)pUtS1SE(.|#|)
PÓDŠYŚOMA	(.|#|)pUtS1SOma(.|#|)
PÓDŠYŠTEJ	(.|#|)pUtS1Stej(.|#|)
PÓDŹARŽANJAM	(.|#|)pUdZarZanjam(.|#|)
PÓDŹARŽAŁA	(.|#|)pUdZarZawa(.|#|)
PÓDŹARŽAŚ	(.|#|)pUdZarZaS(.|#|)
PÓDŹARŽOWAŚ	(.|#|)pUdZarZOwaS(.|#|)
PÓDŹARŽOWAŚ	(.|#|)pUdZarZowaS(.|#|)
PÓFLANĚROWANI	(.|#|)pUflanjirOwani(.|#|)
PÓFLANĚROWANI	(.|#|)pUflanjirowani(.|#|)
PÓGANJAJMEJ	(.|#|)pUganjajmej(.|#|)
PÓGANJAŚ	(.|#|)pUganjaS(.|#|)
PÓGAŃCAMI	(.|#|)pUgajntsami(.|#|)
PÓGIB	(.|#|)pUgip(.|#|)
PÓGIBANJE	(.|#|)pUgiban(j|)E(.|#|)
PÓGIBLIWOSĆ	(.|#|)pUgibliwOstS(.|#|)
PÓGIBLIWOSĆ	(.|#|)pUgibliwOStS(.|#|)
PÓGIBLIWY	(.|#|)pUgibliw1(.|#|)
PÓGIBNIWEMU	(.|#|)pUgibniwEmu(.|#|)
PÓGIBNY	(.|#|)pUgibn1(.|#|)
PÓGIBOWANJE	(.|#|)pUgibOwan(j|)E(.|#|)
PÓGIBOWANJE	(.|#|)pUgibowan(j|)E(.|#|)
PÓGIBOWAŚ	(.|#|)pUgibOwaS(.|#|)
PÓGIBOWAŚ	(.|#|)pUgibowaS(.|#|)
PÓGIBOWU	(.|#|)pUgibOwu(.|#|)
PÓGIBOWU	(.|#|)pUgibowu(.|#|)
PÓGIBY	(.|#|)pUgib1(.|#|)
PÓGJARŹAJUCYMA	(.|#|)pUgjarZajuts1ma(.|#|)
PÓGJARŹALI	(.|#|)pUgjarZali(.|#|)
PÓGJARŹANJOW	(.|#|)pUgjarZanjO(.|#|)
PÓGJARŹANJOW	(.|#|)pUgjarZanjo(.|#|)
PÓGJARŹAŁEJ	(.|#|)pUgjarZawej(.|#|)
PÓGJARŹAŚ	(.|#|)pUgjarZaS(.|#|)
PÓGJARŹIŁO	(.|#|)pUgjarZiwO(.|#|)
PÓGLUCMY	(.|#|)pUglutsm1(.|#|)
PÓGLUCMY	(.|#|)pUglutsmU(.|#|)
PÓGLĚDANJE	(.|#|)pUgljidan(j|)E(.|#|)
PÓGLĚDAŚ	(.|#|)pUgljidaS(.|#|)
PÓGLĚDNICA	(.|#|)pUgljidnitsa(.|#|)
PÓGLĚDNICKA	(.|#|)pUgljidnitska(.|#|)
PÓGLĚDNJENJE	(.|#|)pUgljidn(j|)En(j|)E(.|#|)
PÓGLĚDOWAŚ	(.|#|)pUgljidOwaS(.|#|)
PÓGLĚDOWAŚ	(.|#|)pUgljidowaS(.|#|)
PÓGLĚWKI	(.|#|)pUgljiwki(.|#|)
PÓGLĚWČEJŠEGO	(.|#|)pUgljiwtSejSEgO(.|#|)
PÓGNAŹIŚ	(.|#|)pUgnaZiS(.|#|)
PÓGNIŁOSĆ	(.|#|)pUgniwOstS(.|#|)
PÓGNIŁOSĆ	(.|#|)pUgniwOStS(.|#|)
PÓGNIŁY	(.|#|)pUgniw1(.|#|)
PÓGNIŁYMA	(.|#|)pUgniw1ma(.|#|)
PÓGNOJENJAM	(.|#|)pUgnOjEnjam(.|#|)
PÓGNOJŚ	(.|#|)pUgnOjS(.|#|)
PÓGNUJUCY	(.|#|)pUgnujuts1(.|#|)
PÓGNUTE	(.|#|)pUgnutE(.|#|)
PÓGNUTYCH	(.|#|)pUgnut1x(.|#|)
PÓGNUWANJE	(.|#|)pUgnuwan(j|)E(.|#|)
PÓGNUWAŚ	(.|#|)pUgnuwaS(.|#|)
PÓGNUŚE	(.|#|)pUgnuSE(.|#|)
PÓGNĚŚENI	(.|#|)pUgnjiSEni(.|#|)
PÓGNĚŚIŚ	(.|#|)pUgnjiSiS(.|#|)
PÓGORŠENJOWU	(.|#|)pUgOrSEnjOwu(.|#|)
PÓGORŠENJOWU	(.|#|)pUgOrSEnjowu(.|#|)
PÓGRABAŚ	(.|#|)pUgrabaS(.|#|)
PÓGRABJOMY	(.|#|)pUgrabjOm1(.|#|)
PÓGRABJOMY	(.|#|)pUgrabjOmU(.|#|)
PÓGRAJKAŚ	(.|#|)pUgrajkaS(.|#|)
PÓGRAJKOTAŚ	(.|#|)pUgrajkOtaS(.|#|)
PÓGRAPSAŚ	(.|#|)pUgrapsaS(.|#|)
PÓGRATYM	(.|#|)pUgrat1m(.|#|)
PÓGRAŚ	(.|#|)pUgraS(.|#|)
PÓGRIM	(.|#|)pUgrim(.|#|)
PÓGRIMARSKEM	(.|#|)pUgrimarskEm(.|#|)
PÓGRIMAŔSKEM	(.|#|)pUgrimarskEm(.|#|)
PÓGRIMAŚ	(.|#|)pUgrimaS(.|#|)
PÓGRIMSKEMU	(.|#|)pUgrimskEmu(.|#|)
PÓGROMADNOSĆ	(.|#|)pUgrOmadnOstS(.|#|)
PÓGROMADNOSĆ	(.|#|)pUgrOmadnOStS(.|#|)
PÓGROMADNY	(.|#|)pUgrOmadn1(.|#|)
PÓGROMAŹE	(.|#|)pUgrOmaZE(.|#|)
PÓGRONJONYCH	(.|#|)pUgrOnjOn1x(.|#|)
PÓGROZNJE	(.|#|)pUgrOzn(j|)E(.|#|)
PÓGROZNOSĆ	(.|#|)pUgrOznOstS(.|#|)
PÓGROZNOSĆ	(.|#|)pUgrOznOStS(.|#|)
PÓGROZNY	(.|#|)pUgrOzn1(.|#|)
PÓGROZOWAŚ	(.|#|)pUgrOzOwaS(.|#|)
PÓGROZOWAŚ	(.|#|)pUgrOzowaS(.|#|)
PÓGROZYJOMY	(.|#|)pUgrOz1jOm1(.|#|)
PÓGROZYJOMY	(.|#|)pUgrOz1jOmU(.|#|)
PÓGROZYŚ	(.|#|)pUgrOz1S(.|#|)
PÓGRYZAŠĆO	(.|#|)pUgr1zaStSO(.|#|)
PÓGRĚBA	(.|#|)pUgrjiba(.|#|)
PÓGRĚBAŚ	(.|#|)pUgrjibaS(.|#|)
PÓGRĚBNEJ	(.|#|)pUgrjibnej(.|#|)
PÓGRĚBNIŠĆOWY	(.|#|)pUgrjibniStSOw1(.|#|)
PÓGRĚBNIŠĆOWY	(.|#|)pUgrjibniStSow1(.|#|)
PÓGRĚBNYM	(.|#|)pUgrjibn1m(.|#|)
PÓGRĚJTEJ	(.|#|)pUgrjijtej(.|#|)
PÓGRĚTEJ	(.|#|)pUgrjitej(.|#|)
PÓGUBNI	(.|#|)pUgubni(.|#|)
PÓGUSTY	(.|#|)pUgust1(.|#|)
PÓGUSTYM	(.|#|)pUgust1m(.|#|)
PÓGUSĆAŚ	(.|#|)pUgustSaS(.|#|)
PÓGUSĆIJU	(.|#|)pUgustSiju(.|#|)
PÓGUSĆIŚ	(.|#|)pUgustSiS(.|#|)
PÓGÓDNOŚENJE	(.|#|)pUgUdnOSEn(j|)E(.|#|)
PÓGÓDNOŚIJOŠ	(.|#|)pUgUdnOSijOS(.|#|)
PÓGÓDNOŚIŚ	(.|#|)pUgUdnOSiS(.|#|)
PÓGÓDNOŚOWAŚ	(.|#|)pUgUdnOSOwaS(.|#|)
PÓGÓDNOŚOWAŚ	(.|#|)pUgUdnOSowaS(.|#|)
PÓGÓDNOŚĆO	(.|#|)pUgUdnOStSO(.|#|)
PÓGÓNIJOŚO	(.|#|)pUgUnijOSO(.|#|)
PÓGÓNIWOSĆ	(.|#|)pUgUniwOstS(.|#|)
PÓGÓNIWOSĆ	(.|#|)pUgUniwOStS(.|#|)
PÓGÓNIWOSĆAM	(.|#|)pUgUniwOstSam(.|#|)
PÓGÓNIWOSĆAM	(.|#|)pUgUniwOStSam(.|#|)
PÓGÓNIWY	(.|#|)pUgUniw1(.|#|)
PÓGÓNJARKA	(.|#|)pUgUnjarka(.|#|)
PÓGÓNJAWA	(.|#|)pUgUnjawa(.|#|)
PÓGÓNJAŔ	(.|#|)pUgUnjar(.|#|)
PÓGÓNJENJE	(.|#|)pUgUn(j|)En(j|)E(.|#|)
PÓGÓNJOWANJE	(.|#|)pUgUnjOwan(j|)E(.|#|)
PÓGÓNJOWANJE	(.|#|)pUgUnjowan(j|)E(.|#|)
PÓGÓRINSKI	(.|#|)pUgUrinski(.|#|)
PÓGÓRKEGO	(.|#|)pUgUrkEgO(.|#|)
PÓGÓRKI	(.|#|)pUgUrki(.|#|)
PÓGÓRKIM	(.|#|)pUgUrkim(.|#|)
PÓGÓRKOWATY	(.|#|)pUgUrkOwat1(.|#|)
PÓGÓRKOWATY	(.|#|)pUgUrkowat1(.|#|)
PÓGÓRŠENIM	(.|#|)pUgUrSEnim(.|#|)
PÓGÓRŠENJE	(.|#|)pUgUrSEn(j|)E(.|#|)
PÓGÓRŠKOM	(.|#|)pUgUrSkOm(.|#|)
PÓGÓRŠKOM	(.|#|)pUgUrSkUm(.|#|)
PÓGÓRŠMEJ	(.|#|)pUgUrSmej(.|#|)
PÓGÓRŠMY	(.|#|)pUgUrSm1(.|#|)
PÓGÓRŠMY	(.|#|)pUgUrSmU(.|#|)
PÓGÓRŠNICA	(.|#|)pUgUrSnitsa(.|#|)
PÓGÓRŠNICACH	(.|#|)pUgUrSnitsax(.|#|)
PÓGÓRŠNY	(.|#|)pUgUrSn1(.|#|)
PÓGÓRŠOMA	(.|#|)pUgUrSOma(.|#|)
PÓGÓRŠONY	(.|#|)pUgUrSOn1(.|#|)
PÓGÓRŠOTA	(.|#|)pUgUrSOta(.|#|)
PÓGÓRŠOWAŚ	(.|#|)pUgUrSOwaS(.|#|)
PÓGÓRŠOWAŚ	(.|#|)pUgUrSowaS(.|#|)
PÓGÓRŠOŚE	(.|#|)pUgUrSOSE(.|#|)
PÓGÓRŠUJUCEJE	(.|#|)pUgUrSujutsejE(.|#|)
PÓGÓRŠYŁ	(.|#|)pUgUrS1u(.|#|)
PÓGÓRŠYŚ	(.|#|)pUgUrS1S(.|#|)
PÓGÓRŠĆO	(.|#|)pUgUrStSO(.|#|)
PÓGÓSPODARJOWAŁO	(.|#|)pUgUspOdarjOwawO(.|#|)
PÓGÓSPODARJOWAŁO	(.|#|)pUgUspOdarjowawO(.|#|)
PÓGÓSPODOWAŚ	(.|#|)pUgUspOdOwaS(.|#|)
PÓGÓSPODOWAŚ	(.|#|)pUgUspOdowaS(.|#|)
PÓGÓTOWANYM	(.|#|)pUgUtOwan1m(.|#|)
PÓGÓTOWANYM	(.|#|)pUgUtowan1m(.|#|)
PÓGÓŃ	(.|#|)pUgUjn(.|#|)
PÓGÓŃ	(.|#|)pUgUn(.|#|)
PÓGÓŃC	(.|#|)pUgUjnts(.|#|)
PÓGÓŃCOWU	(.|#|)pUgUjntsOwu(.|#|)
PÓGÓŃCOWU	(.|#|)pUgUjntsowu(.|#|)
PÓGÓŃTWY	(.|#|)pUgUjntw1(.|#|)
PÓGÓŔŚO	(.|#|)pUgUrSO(.|#|)
PÓGŁAŹANEM	(.|#|)pUgwaZanEm(.|#|)
PÓGŁAŹIŚ	(.|#|)pUgwaZiS(.|#|)
PÓGŁAŹOWAŚ	(.|#|)pUgwaZOwaS(.|#|)
PÓGŁAŹOWAŚ	(.|#|)pUgwaZowaS(.|#|)
PÓGŁODNUCHMEJ	(.|#|)pUgwOdnuxmej(.|#|)
PÓGŁUPY	(.|#|)pUgwup1(.|#|)
PÓGŁUPYMA	(.|#|)pUgwup1ma(.|#|)
PÓGŁUŠECY	(.|#|)pUgwuSEts1(.|#|)
PÓGŁUŠENJE	(.|#|)pUgwuSEn(j|)E(.|#|)
PÓGŁUŠEŃSKE	(.|#|)pUgwuSEjnskE(.|#|)
PÓGŁUŠEŃSKE	(.|#|)pUgwuSejnskE(.|#|)
PÓGŁUŠONOSĆ	(.|#|)pUgwuSOnOstS(.|#|)
PÓGŁUŠONOSĆ	(.|#|)pUgwuSOnOStS(.|#|)
PÓGŁUŠONY	(.|#|)pUgwuSOn1(.|#|)
PÓGŁUŠOWAŚ	(.|#|)pUgwuSOwaS(.|#|)
PÓGŁUŠOWAŚ	(.|#|)pUgwuSowaS(.|#|)
PÓGŁUŠUJTEJ	(.|#|)pUgwuSujtej(.|#|)
PÓGŁUŠYŚ	(.|#|)pUgwuS1S(.|#|)
PÓHAJCKANJEJU	(.|#|)pUhajtskan(j|)eju(.|#|)
PÓHAJCKAŁEJ	(.|#|)pUhajtskawej(.|#|)
PÓHAJCNJENJOW	(.|#|)pUhajtsn(j|)EnjO(.|#|)
PÓHAJCNJENJOW	(.|#|)pUhajtsn(j|)Enjo(.|#|)
PÓHAJCNUCHMY	(.|#|)pUhajtsnuxm1(.|#|)
PÓHAJCNUCHMY	(.|#|)pUhajtsnuxmU(.|#|)
PÓHAJKAŚ	(.|#|)pUhajkaS(.|#|)
PÓHYMPANJA	(.|#|)pUh1mpanja(.|#|)
PÓHYMPAŚ	(.|#|)pUh1mpaS(.|#|)
PÓINFORMĚROWAŚ	(.|#|)pUinfOrmjirOwaS(.|#|)
PÓINFORMĚROWAŚ	(.|#|)pUinfOrmjirowaS(.|#|)
PÓINFORMĚRUJOMEJ	(.|#|)pUinfOrmjirujOmej(.|#|)
PÓJAC	(.|#|)pUjats(.|#|)
PÓJACK	(.|#|)pUjatsk(.|#|)
PÓJADNANJE	(.|#|)pUjadnan(j|)E(.|#|)
PÓJADNAWAJUCY	(.|#|)pUjadnawajuts1(.|#|)
PÓJAWIM	(.|#|)pUjawim(.|#|)
PÓJAWIM	(.|#|)pUjaw1m(.|#|)
PÓJAWJE	(.|#|)pUjau(j|)E(.|#|)
PÓJCE	(.|#|)pUjtsE(.|#|)
PÓJGRAŚ	(.|#|)pUjgraS(.|#|)
PÓJK	(.|#|)pUjk(.|#|)
PÓJKAM	(.|#|)pUjkam(.|#|)
PÓJM	(.|#|)pUjm(.|#|)
PÓJMATY	(.|#|)pUjmat1(.|#|)
PÓJMAŔ	(.|#|)pUjmar(.|#|)
PÓJMAŚ	(.|#|)pUjmaS(.|#|)
PÓJMIMEJ	(.|#|)pUjmimej(.|#|)
PÓJMJEŚ	(.|#|)pUjmjES(.|#|)
PÓJMTEJ	(.|#|)pUjmtej(.|#|)
PÓJMU	(.|#|)pUjmu(.|#|)
PÓJMŚO	(.|#|)pUjmSO(.|#|)
PÓJĚCHMEJ	(.|#|)pUjjiCmej(.|#|)
PÓJĚDANK	(.|#|)pUjjidank(.|#|)
PÓJĚDCE	(.|#|)pUjjidtsE(.|#|)
PÓJĚDY	(.|#|)pUjjid1(.|#|)
PÓJĚLI	(.|#|)pUjjili(.|#|)
PÓJĚST	(.|#|)pUjjist(.|#|)
PÓJĚTŚITEJ	(.|#|)pUjjitSitej(.|#|)
PÓJĚZAM	(.|#|)pUjjizam(.|#|)
PÓJĚŹONU	(.|#|)pUjjiZOnu(.|#|)
PÓJĚŹĆO	(.|#|)pUjjiZtSO(.|#|)
PÓJŚ	(.|#|)pUjS(.|#|)
PÓJŹ	(.|#|)pUjZ(.|#|)
PÓKAKANJU	(.|#|)pUkakanju(.|#|)
PÓKALILI	(.|#|)pUkalili(.|#|)
PÓKALKOWAŚ	(.|#|)pUkalkOwaS(.|#|)
PÓKALKOWAŚ	(.|#|)pUkalkowaS(.|#|)
PÓKALŚO	(.|#|)pUkalSO(.|#|)
PÓKAMPLOWANJOMA	(.|#|)pUkamplOwanjOma(.|#|)
PÓKAMPLOWANJOMA	(.|#|)pUkamplowanjOma(.|#|)
PÓKAMPLOWAŚ	(.|#|)pUkamplOwaS(.|#|)
PÓKAMPLOWAŚ	(.|#|)pUkamplowaS(.|#|)
PÓKAPANEM	(.|#|)pUkapanEm(.|#|)
PÓKAZENJU	(.|#|)pUkazEnju(.|#|)
PÓKAZYJOMY	(.|#|)pUkaz1jOm1(.|#|)
PÓKAZYJOMY	(.|#|)pUkaz1jOmU(.|#|)
PÓKAŁANEGO	(.|#|)pUkawanEgO(.|#|)
PÓKAŠLENJE	(.|#|)pUkaSlEn(j|)E(.|#|)
PÓKAŠLOWAŚ	(.|#|)pUkaSlOwaS(.|#|)
PÓKAŠLOWAŚ	(.|#|)pUkaSlowaS(.|#|)
PÓKAŹICHU	(.|#|)pUkaZixu(.|#|)
PÓKAŹICHU	(.|#|)pUkaZiCu(.|#|)
PÓKIDANJOW	(.|#|)pUkidanjO(.|#|)
PÓKIDANJOW	(.|#|)pUkidanjo(.|#|)
PÓKIDAŠĆO	(.|#|)pUkidaStSO(.|#|)
PÓKIPOWANE	(.|#|)pUkipOwanE(.|#|)
PÓKIPOWANE	(.|#|)pUkipowanE(.|#|)
PÓKIPTEJ	(.|#|)pUkiptej(.|#|)
PÓKISALIŚ	(.|#|)pUkisaliS(.|#|)
PÓKISALMEJ	(.|#|)pUkisalmej(.|#|)
PÓKISANYM	(.|#|)pUkisan1m(.|#|)
PÓKISAŁY	(.|#|)pUkisaw1(.|#|)
PÓKISAŁYMA	(.|#|)pUkisaw1ma(.|#|)
PÓKISNJENJAM	(.|#|)pUkisn(j|)Enjam(.|#|)
PÓKIWJE	(.|#|)pUkiu(j|)E(.|#|)
PÓKIWOM	(.|#|)pUkiwOm(.|#|)
PÓKIWY	(.|#|)pUkiw1(.|#|)
PÓKIŠMEJ	(.|#|)pUkiSmej(.|#|)
PÓKIŠOŠ	(.|#|)pUkiSOS(.|#|)
PÓKJACHAŚ	(.|#|)pUkjaxaS(.|#|)
PÓKJACHOWAŚ	(.|#|)pUkjaxOwaS(.|#|)
PÓKJACHOWAŚ	(.|#|)pUkjaxowaS(.|#|)
PÓKJARMILI	(.|#|)pUkjarmili(.|#|)
PÓKJARMIMY	(.|#|)pUkjarmim1(.|#|)
PÓKJARMIMY	(.|#|)pUkjarmimU(.|#|)
PÓKJARMIŠTEJ	(.|#|)pUkjarmiStej(.|#|)
PÓKJAWCTEJ	(.|#|)pUkjautstej(.|#|)
PÓKJAWKAŠTEJ	(.|#|)pUkjaukaStej(.|#|)
PÓKLAPAŚ	(.|#|)pUklapaS(.|#|)
PÓKLAPNJOŠ	(.|#|)pUklapnjOS(.|#|)
PÓKLETKAMI	(.|#|)pUklEtkami(.|#|)
PÓKLETKO	(.|#|)pUklEtkO(.|#|)
PÓKLINAJUCA	(.|#|)pUklinajutsa(.|#|)
PÓKLĚCALI	(.|#|)pUkljitsali(.|#|)
PÓKLĚCH	(.|#|)pUkljiC(.|#|)
PÓKLĚCĆO	(.|#|)pUkljitstSO(.|#|)
PÓKLĚJTEJ	(.|#|)pUkljijtej(.|#|)
PÓKLĚK	(.|#|)pUkljik(.|#|)
PÓKLĚKAŚ	(.|#|)pUkljikaS(.|#|)
PÓKLĚKOWANU	(.|#|)pUkljikOwanu(.|#|)
PÓKLĚKOWANU	(.|#|)pUkljikowanu(.|#|)
PÓKLĚKOWAŚ	(.|#|)pUkljikOwaS(.|#|)
PÓKLĚKOWAŚ	(.|#|)pUkljikowaS(.|#|)
PÓKLĚTKO	(.|#|)pUkljitkO(.|#|)
PÓKLĚTY	(.|#|)pUkljit1(.|#|)
PÓKLĚŁEJ	(.|#|)pUkljiwej(.|#|)
PÓKNYŠANU	(.|#|)pUkn1Sanu(.|#|)
PÓKNYŠANYCH	(.|#|)pUkn1San1x(.|#|)
PÓKNYŠAŚ	(.|#|)pUkn1SaS(.|#|)
PÓKNYŠONYMI	(.|#|)pUkn1SOn1mi(.|#|)
PÓKOMUŹENJE	(.|#|)pUkOmuZEn(j|)E(.|#|)
PÓKOMUŹENJE	(.|#|)pUkUmuZEn(j|)E(.|#|)
PÓKOPNJONEJE	(.|#|)pUkOpnjOnejE(.|#|)
PÓKORNOSĆ	(.|#|)pUkOrnOstS(.|#|)
PÓKORNOSĆ	(.|#|)pUkOrnOStS(.|#|)
PÓKORNOSĆACH	(.|#|)pUkOrnOstSax(.|#|)
PÓKORNOSĆACH	(.|#|)pUkOrnOStSax(.|#|)
PÓKRAJNYMI	(.|#|)pUkrajn1mi(.|#|)
PÓKRITIZĚROWANJOW	(.|#|)pUkritizjirOwanjO(.|#|)
PÓKRITIZĚROWANJOW	(.|#|)pUkritizjirowanjo(.|#|)
PÓKRITIZĚROWAŚ	(.|#|)pUkritizjirOwaS(.|#|)
PÓKRITIZĚROWAŚ	(.|#|)pUkritizjirowaS(.|#|)
PÓKROTKO	(.|#|)pUkrOtkO(.|#|)
PÓKUKANJAMI	(.|#|)pUkukanjami(.|#|)
PÓKUKAŚ	(.|#|)pUkukaS(.|#|)
PÓKULOWATEJ	(.|#|)pUkulOwatej(.|#|)
PÓKULOWATEJ	(.|#|)pUkulowatej(.|#|)
PÓKULOWATY	(.|#|)pUkulOwat1(.|#|)
PÓKULOWATY	(.|#|)pUkulowat1(.|#|)
PÓKUPANI	(.|#|)pUkupani(.|#|)
PÓKUPAŚ	(.|#|)pUkupaS(.|#|)
PÓKUPIŚ	(.|#|)pUkupiS(.|#|)
PÓKUPOWANJE	(.|#|)pUkupOwan(j|)E(.|#|)
PÓKUPOWANJE	(.|#|)pUkupowan(j|)E(.|#|)
PÓKUPOWARNJA	(.|#|)pUkupOwarnja(.|#|)
PÓKUPOWARNJA	(.|#|)pUkupowarnja(.|#|)
PÓKUPOWAŔ	(.|#|)pUkupOwar(.|#|)
PÓKUPOWAŔ	(.|#|)pUkupowar(.|#|)
PÓKUPOWAŚ	(.|#|)pUkupOwaS(.|#|)
PÓKUPOWAŚ	(.|#|)pUkupowaS(.|#|)
PÓKURCTEJ	(.|#|)pUkurtstej(.|#|)
PÓKURIT	(.|#|)pUkurit(.|#|)
PÓKUSAŚ	(.|#|)pUkusaS(.|#|)
PÓKUSUJOMEJ	(.|#|)pUkusujOmej(.|#|)
PÓKUŔMEJ	(.|#|)pUkurmej(.|#|)
PÓKUŹERICH	(.|#|)pUkuZErix(.|#|)
PÓKUŹERICH	(.|#|)pUkuZEriC(.|#|)
PÓKUŹERIŚ	(.|#|)pUkuZEriS(.|#|)
PÓKUŽELAŃSKIM	(.|#|)pUkuZElajnskim(.|#|)
PÓKÓCORIŚ	(.|#|)pUkUtsOriS(.|#|)
PÓKÓCORJENJU	(.|#|)pUkUtsOr(j|)Enju(.|#|)
PÓKÓCOŔMEJ	(.|#|)pUkUtsOrmej(.|#|)
PÓKÓLENKOWANYM	(.|#|)pUkUlEnkOwan1m(.|#|)
PÓKÓLENKOWANYM	(.|#|)pUkUlEnkowan1m(.|#|)
PÓKÓLENKOWAŚ	(.|#|)pUkUlEnkOwaS(.|#|)
PÓKÓLENKOWAŚ	(.|#|)pUkUlEnkowaS(.|#|)
PÓKÓRTUJMY	(.|#|)pUkUrtujm1(.|#|)
PÓKÓRTUJMY	(.|#|)pUkUrtujmU(.|#|)
PÓKÓŃC	(.|#|)pUkUjnts(.|#|)
PÓKÓŃCOWEJE	(.|#|)pUkUjntsOwejE(.|#|)
PÓKÓŃCOWEJE	(.|#|)pUkUjntsowejE(.|#|)
PÓKŁAD	(.|#|)pUkwat(.|#|)
PÓKŁADNICA	(.|#|)pUkwadnitsa(.|#|)
PÓKŁADNIK	(.|#|)pUkwadnik(.|#|)
PÓKŁADNIŠĆO	(.|#|)pUkwadniStSO(.|#|)
PÓKŁADOWAŚ	(.|#|)pUkwadOwaS(.|#|)
PÓKŁADOWAŚ	(.|#|)pUkwadowaS(.|#|)
PÓKŁADOWNJA	(.|#|)pUkwadOunja(.|#|)
PÓKŁADOWNJA	(.|#|)pUkwadounja(.|#|)
PÓKŁADYPYTARKA	(.|#|)pUkwad1p1tarka(.|#|)
PÓKŁADYPYTARKAM	(.|#|)pUkwad1p1tarkam(.|#|)
PÓKŁADYPYTAŔKAM	(.|#|)pUkwad1p1tarkam(.|#|)
PÓKŁANJANEMU	(.|#|)pUkwanjanEmu(.|#|)
PÓKŁANJANJE	(.|#|)pUkwanjan(j|)E(.|#|)
PÓKŁANJAŚ	(.|#|)pUkwanjaS(.|#|)
PÓKŁASĆ	(.|#|)pUkwastS(.|#|)
PÓKŁAŹOŚO	(.|#|)pUkwaZOSO(.|#|)
PÓKŁAŹOŠ	(.|#|)pUkwaZOS(.|#|)
PÓKŁONIŚ	(.|#|)pUkwOniS(.|#|)
PÓKŁONJENJE	(.|#|)pUkwOn(j|)En(j|)E(.|#|)
PÓKŁOŚONA	(.|#|)pUkwOSOna(.|#|)
PÓKŚICKOWANI	(.|#|)pUkSitskOwani(.|#|)
PÓKŚICKOWANI	(.|#|)pUkSitskowani(.|#|)
PÓKŚICKOWAŚ	(.|#|)pUkSitskOwaS(.|#|)
PÓKŚICKOWAŚ	(.|#|)pUkSitskowaS(.|#|)
PÓKŚIWIŚ	(.|#|)pUkSiwiS(.|#|)
PÓKŚIWMEJ	(.|#|)pUkSiumej(.|#|)
PÓKŚIWY	(.|#|)pUkSiw1(.|#|)
PÓKŠACANY	(.|#|)pUkSatsan1(.|#|)
PÓKŠACOWANJE	(.|#|)pUkSatsOwan(j|)E(.|#|)
PÓKŠACOWANJE	(.|#|)pUkSatsowan(j|)E(.|#|)
PÓKŠACOWAŚ	(.|#|)pUkSatsOwaS(.|#|)
PÓKŠACOWAŚ	(.|#|)pUkSatsowaS(.|#|)
PÓKŠACUJUCY	(.|#|)pUkSatsujuts1(.|#|)
PÓKŠAJŹNJE	(.|#|)pUkSajZn(j|)E(.|#|)
PÓKŠAJŹNY	(.|#|)pUkSajZn1(.|#|)
PÓKŠAJŹNYMA	(.|#|)pUkSajZn1ma(.|#|)
PÓKŠAJŹU	(.|#|)pUkSajZu(.|#|)
PÓKŠAWIJOMEJ	(.|#|)pUkSawijOmej(.|#|)
PÓKŠAWIŚ	(.|#|)pUkSawiS(.|#|)
PÓKŠAWJENJE	(.|#|)pUkSau(j|)En(j|)E(.|#|)
PÓKŠEJNYM	(.|#|)pUkSejn1m(.|#|)
PÓKŠUTEM	(.|#|)pUkSutEm(.|#|)
PÓKŠUTY	(.|#|)pUkSut1(.|#|)
PÓKŠYDŁACH	(.|#|)pUkS1dwax(.|#|)
PÓKŠYLI	(.|#|)pUkS1li(.|#|)
PÓKŠYTCE	(.|#|)pUkS1ttsE(.|#|)
PÓKŠYTKACH	(.|#|)pUkS1tkax(.|#|)
PÓKŠYTOSEMJENJATY	(.|#|)pUkS1tOsEmjEnjat1(.|#|)
PÓKŠYW	(.|#|)pUkS1w(.|#|)
PÓKŠYWAC	(.|#|)pUkS1wats(.|#|)
PÓKŠYWADŁAMI	(.|#|)pUkS1wadwami(.|#|)
PÓKŠYWADŁO	(.|#|)pUkS1wadwO(.|#|)
PÓKŠYWALNY	(.|#|)pUkS1waln1(.|#|)
PÓKŠYWANJE	(.|#|)pUkS1wan(j|)E(.|#|)
PÓKŠYWAŁCE	(.|#|)pUkS1wawtsE(.|#|)
PÓKŠYWAŚ	(.|#|)pUkS1waS(.|#|)
PÓKŠYWK	(.|#|)pUkS1uk(.|#|)
PÓKŠYŚE	(.|#|)pUkS1SE(.|#|)
PÓL	(.|#|)pUl(.|#|)
PÓLACKA	(.|#|)pUlatska(.|#|)
